Medium_Key,Report_Medium
2507,Other
2508,Other
2509,Other
2510,Other
2511,Other
2512,Other
2513,Other
2514,Other
2515,Other
2516,Other
2517,Other
2518,Other
2519,Other
2520,Other
2521,Other
2522,Other
2523,Other
2524,Other
2525,Other
2526,Other
2527,Other
2528,Other
2529,Other
2530,Other
2531,Other
2532,EMAIL
2533,Other
2534,EMAIL
2535,Other
2536,EMAIL
2537,Other
2538,Other
2539,Other
2540,Other
2541,Other
2542,Other
2543,Other
2544,Other
2545,Other
2546,Other
2547,Other
2548,Other
2549,EMAIL
2550,Other
2551,Other
2552,Other
2553,Other
2554,Other
2555,Other
2556,Other
2557,Other
2558,Other
2559,Other
2560,Other
2561,Other
2562,Other
2563,Other
2564,Other
2565,Other
2566,Other
2567,Other
2568,Other
2569,Other
2570,Other
2571,EMAIL
2572,Other
2573,SOCIAL
2574,Other
2575,Other
2576,Other
2577,Other
2578,AFFILIATE
2579,Other
2580,Other
2581,Other
2582,Other
2583,Other
2584,Other
2585,Other
2586,Other
2587,Other
2588,Other
2589,Other
2590,Other
2591,Other
2592,Other
2593,Other
2594,Other
2595,Other
2596,Other
2597,Other
2598,Other
2599,Other
2600,Other
2601,Other
2602,Other
2603,Other
2604,Other
2605,Other
2606,Other
2607,Other
2608,Other
2609,Other
2610,Other
2611,Other
2612,Other
2613,EMAIL
2614,Other
2615,Other
2616,Other
2617,Other
2618,Other
2619,Other
2620,Other
2621,Other
2622,Other
2623,Other
2624,Other
2625,Other
2626,Other
2627,Other
2628,Other
2629,Other
2630,Other
2631,AFFILIATE
2632,Other
2633,Other
2634,Other
2635,Other
2636,Other
2637,EMAIL
2638,Other
2639,Other
2640,AFFILIATE
2641,Other
2642,Other
2643,Other
2644,Other
2645,Other
2646,Other
2647,Other
2648,Other
2649,Other
2650,Other
2651,Other
2652,Other
2653,Other
2654,Other
2655,Other
2656,Other
2657,Other
2658,Other
2659,Other
2660,Other
2661,EMAIL
2662,AFFILIATE
2663,EMAIL
2664,Other
2665,EMAIL
2666,EMAIL
2667,AFFILIATE
2668,AFFILIATE
2669,Other
2670,EMAIL
2671,Other
2672,Other
2673,Other
2674,Other
2675,Other
2676,Other
2677,Other
2678,Other
2679,Other
2680,Other
2681,Other
2682,Other
2683,Other
2684,Other
2685,Other
2686,Other
2687,Other
2688,Other
2689,Other
2690,Other
2691,Other
2692,Other
2693,EMAIL
2694,Other
2695,Other
2696,Other
2697,Other
2698,Other
2699,Other
2700,Other
2701,Other
2702,Other
2703,Other
2704,Other
2705,Other
2706,Other
2707,Other
2708,Other
2709,Other
2710,EMAIL
2711,EMAIL
2712,EMAIL
2713,Other
2714,Other
2715,Other
2716,EMAIL
2717,Other
2718,Other
2719,EMAIL
2720,EMAIL
2721,Other
2722,EMAIL
2723,EMAIL
2724,EMAIL
2725,EMAIL
2726,AFFILIATE
2727,EMAIL
