0,Order_Sequence_No
1,prop
2,Payment_Provider_Key
3,Payment_Method_Key
4,Delivery_Option_Type_Key
5,Category_Level_2Skin.Care
6,Category_Level_2Health.and.Beauty.Electricals
7,priority_int
8,Medium_Key
9,pay_key_num
10,ship_status
11,Order_Payment_Status_Key
12,destination_int
13,Category_Level_2Body.Care
14,num_valid
15,count
16,Product_Charge_Price
17,customer_status
18,Category_Level_2Hair.Care
19,Ordered_Qty
20,Category_Level_2Make.Up
21,Cancelled_Qty
22,canc_prop
23,Category_Level_2Fragrance
24,Category_Level_2Bags
25,Category_Level_2Health.and.Beauty.Gift.Sets
26,Category_Level_2Nail.Care
