0,Order_Sequence_No
1,prop
2,Payment_Method_Key
3,Payment_Provider_Key
4,Category_Level_2Health.and.Beauty.Electricals
5,Delivery_Option_Type_Key
6,Category_Level_2Skin.Care
7,priority_int
8,Medium_Key
9,ship_status
10,pay_key_num
11,Category_Level_2Body.Care
12,Order_Payment_Status_Key
13,count
14,num_valid
15,Product_Charge_Price
16,destination_int
17,Category_Level_2Hair.Care
18,Ordered_Qty
19,customer_status
20,Category_Level_2Make.Up
21,Cancelled_Qty
22,Category_Level_2Fragrance
23,canc_prop
24,Category_Level_2Bags
25,Category_Level_2Health.and.Beauty.Gift.Sets
26,occupation_int
27,Category_Level_2Nail.Care
